entry,at,order
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:23:58.539Z,164050703853900
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:23:57.610Z,164050703761000
"""path_connected @ qTbML-xxiE"" folds",2021-12-26T08:23:56.716Z,164050703671600
"""dagmlar @ GQEWTYNCmH"" raises to 5",2021-12-26T08:23:55.381Z,164050703538100
"""isaacwu @ Mhf_KbfDe4"" folds",2021-12-26T08:23:52.887Z,164050703288700
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:23:51.948Z,164050703194800
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:23:51.007Z,164050703100700
"""melon @ 6k_YazKYoG"" folds",2021-12-26T08:23:43.356Z,164050702335600
"""thecow808 @ uTl-xcNY0V"" folds",2021-12-26T08:23:42.368Z,164050702236800
"""how @ v1kEn2eTHk"" posts a big blind of 2",2021-12-26T08:23:39.964Z,164050701996412
"""mangarino @ UBRS2d0ZyT"" posts a small blind of 1",2021-12-26T08:23:39.964Z,164050701996411
"Your hand is 7♦, 10♥",2021-12-26T08:23:39.964Z,164050701996406
"Player stacks: #1 ""isaacwu @ Mhf_KbfDe4"" (115) | #2 ""dagmlar @ GQEWTYNCmH"" (259) | #3 ""path_connected @ qTbML-xxiE"" (170) | #5 ""mangarino @ UBRS2d0ZyT"" (146) | #6 ""how @ v1kEn2eTHk"" (342) | #7 ""thecow808 @ uTl-xcNY0V"" (1160) | #8 ""melon @ 6k_YazKYoG"" (220) | #9 ""mikehaze @ WQjt0Mpf2J"" (262) | #10 ""home game hero @ dgEP-4bywu"" (1664)",2021-12-26T08:23:39.964Z,164050701996401
"-- starting hand #557  (No Limit Texas Hold'em) (dealer: ""path_connected @ qTbML-xxiE"") --",2021-12-26T08:23:39.964Z,164050701996400
"-- ending hand #556 --",2021-12-26T08:23:36.973Z,164050701697302
"""isaacwu @ Mhf_KbfDe4"" collected 5 from pot",2021-12-26T08:23:36.973Z,164050701697301
"Uncalled bet of 3 returned to ""isaacwu @ Mhf_KbfDe4""",2021-12-26T08:23:36.973Z,164050701697300
"The player ""noland @ geTwanWsV_"" requested a seat.",2021-12-26T08:23:36.827Z,164050701682700
"""mangarino @ UBRS2d0ZyT"" folds",2021-12-26T08:23:36.088Z,164050701608800
"""path_connected @ qTbML-xxiE"" folds",2021-12-26T08:23:35.160Z,164050701516000
"""dagmlar @ GQEWTYNCmH"" folds",2021-12-26T08:23:34.235Z,164050701423500
"""isaacwu @ Mhf_KbfDe4"" raises to 5",2021-12-26T08:23:33.140Z,164050701314000
"""home game hero @ dgEP-4bywu"" folds",2021-12-26T08:23:30.529Z,164050701052900
"""mikehaze @ WQjt0Mpf2J"" folds",2021-12-26T08:23:29.549Z,164050700954900
"""melon @ 6k_YazKYoG"" folds",2021-12-26T08:23:21.346Z,164050700134600
"""thecow808 @ uTl-xcNY0V"" folds",2021-12-26T08:23:20.369Z,164050700036900
"""how @ v1kEn2eTHk"" folds",2021-12-26T08:23:19.402Z,164050699940200
"""mangarino @ UBRS2d0ZyT"" posts a big blind of 2",2021-12-26T08:23:18.433Z,164050699843312
"""path_connected @ qTbML-xxiE"" posts a small blind of 1",2021-12-26T08:23:18.433Z,164050699843311
"Your hand is 3♦, 8♠",2021-12-26T08:23:18.433Z,164050699843306
